N°;NOMBRE;LATITUD;LONGITUD;MINERAL PRINCIPAL;PROVINCIA;ESTADO;OPERADOR
459;Cerámica Ctibor;-35,0419;-58,19123;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Cerámica Ctibor S.A
460;Lagunas de Hudson;-35,1636;-58,05273;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Adalberto Ricardo Rasente
461;Buklos S.R.L;-34,20829;-58,96515;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Buklos S.R.L
462;LP I;-34,23697;-58,92108;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;La Pastoriza S.A
463;LP II;-34,23029;-58,93143;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;La Pastoriza S.A
464;Concaro;-34,17278;-59,04561;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Concaro Vial S.A
465;El Morejón;-34,1912;-59,04794;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Alejandro Ignacio López
466;Las Toscas de Campana;-34,21466;-58,99935;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Cantera Las Toscas de Campana S.A.
467;Don Niceto;-34,21235;-59,0371;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Trans Plus S.R.L.
468;Santa Rosa;-34,22923;-59,01004;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Almirante Irizar S.A
469;San Ramón 1;-35,05193;-58,67085;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;South Patagonian S.A.
470;Don Alberto;-34,91175;-58,64328;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Transporte Alberto de La Mata S.R.L
471;Cantera Municipal;-34,14047;-59,73989;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Vialmani S.A
472;Arroyo Gómez;-34,12415;-59,89682;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Vialmani S.A
473;Nuestra Señora del Carmen;-34,34401;-59,83304;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Roberto Luis Torretta
474;López;-34,41674;-59,81947;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;José Cartelone C.C.S.A. - Decavial S.A.I.C.A.C - Esuco S.A. UTE
475;Sueiro;-34,48345;-60,00485;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Constructora Dos Arroyos S.A.
476;Madazuma;-35,95714;-57,45276;Conchilla y/o coquina;Buenos Aires;Producción;Agropecuaria Madazuma S.R.L
477;Vilches;-35,94577;-57,43721;Conchilla y/o coquina;Buenos Aires;Producción;Domingo Gonzalez y Cia S.A
478;EGASA;-36,08398;-57,43011;Conchilla y/o coquina;Buenos Aires;Producción;Domingo Gonzalez y Cía. S.A
479;La Pasionaria;-35,88043;-57,44667;Conchilla y/o coquina;Buenos Aires;Producción;Domingo Gonzalez y Cia S.A
480;El Lenguaraz;-35,91534;-57,44676;Conchilla y/o coquina;Buenos Aires;Producción;Cristamine S.A.
481;El Rincón;-35,79575;-57,40785;Conchilla y/o coquina;Buenos Aires;Producción;Vaher S.A.
482;1 Homaq;-34,60156;-60,43742;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Homaq S.A - Const. Dos Arroyos S.A - UCSA S.A - UTE
483;2 Homaq;-34,59542;-60,49154;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Homaq S.A - Const. Dos Arroyos S.A - UCSA S.A - UTE
484;3 Homaq;-34,62003;-60,51941;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Homaq S.A - Const. Dos Arroyos S.A - UCSA S.A - UTE
485;Don Perico;-35,50907;-58,03062;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Pedro Enrique Martínez
486;Punto 2;-38,23961;-61,49685;Granito;Buenos Aires;Producción;Cantera Piatti S.A
487;Siracusa;-38,88545;-61,99689;Arena;Buenos Aires;Producción;Santos y Horacio Siracusa S.H
488;De La Iglesia;-38,89505;-61,98041;Arena;Buenos Aires;Producción;Andrés de la Iglesia
489;La Martina;-38,87616;-62,03799;Arena;Buenos Aires;Producción;Carlos Alberto Messina
490;El Chalet;-38,85572;-62,01225;Arena;Buenos Aires;Producción;Vanesa Elizabet Oberti
491;Almirante Irizar II;-34,37418;-58,95441;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Almirante Irizar S.A
492;Cantera La Victoria;-34,84801;-58,62229;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Cantera La Victoria S.A.
493;Ezeiza;-34,86325;-58,6239;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Canteras del Gaucho S.A.
494;Cerámicos Spegazzini;-34,89388;-58,60102;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Ladrillos Cerámicos Spegazzini S.A
495;Losada;-38,11266;-58,14347;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Vialsa S.A
496;Pangea I;-37,63005;-61,11737;Carbón;Buenos Aires;Exploración avanzada;Mario Osvaldo Rafael Tessone
497;Pangea II;-37,50448;-61,30056;Carbón;Buenos Aires;Exploración avanzada;Mario Osvaldo Rafael Tessone, Santiago Gigola y Otros
498;Tina;-34,9689;-58,79605;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Tina S.A.
499;Tierra Morena;-34,8928;-58,86041;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Rubén Dario Dias
500;Las Malvas;-36,44089;-56,9183;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Benito Roggio e Hijos S.A.
501;Divisadero;-36,40603;-56,74303;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Benito Roggio e Hijos S.A.
502;Dos Montes;-37,16417;-56,98925;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Daniel Emilio Cibert
503;Arenera Querandí;-37,39064;-57,09809;Arena;Buenos Aires;Producción;Margarita Olegaria Arbelaiz
504;Tosquera Manuel Pedro;-38,06684;-57,6372;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Nicolás M. y Pablo S. Do Carmo Pedro
505;Arenera puerto Mar del Plata;-38,04988;-57,53274;Arena;Buenos Aires;Producción;Arenera puerto Mar del Plata S.R.L
506;La Gloria;-38,0193;-57,69176;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Ermeg S.A
507;Yacimiento La Florida;-38,01419;-57,69155;Cuarcita;Buenos Aires;Producción;Canteras Yaraví S.A.
508;Palmar MdP Campo 14 Has;-38,02374;-57,67753;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Palmar Mar del Plata S.A.
509;La Cerámica;-38,01902;-57,69542;Arena;Buenos Aires;Producción;Canteras Yaraví S.A.
510;Dos Cerros;-38,03878;-57,68088;Cuarcita;Buenos Aires;Producción;Vialsa S.A
511;San Francisco;-38,03601;-57,67977;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Vialsa S.A.
512;Roal I;-38,04234;-57,68542;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Roal constructora, extractiva y agropecuaria S.R.L
513;Yacimiento Minera;-38,02267;-57,73909;Cuarcita;Buenos Aires;Producción;Canteras Yaraví S.A.
514;Yacimiento Petrea;-38,02511;-57,69683;Cuarcita;Buenos Aires;Producción;Canteras Yaraví S.A.
515;Poggi;-38,02738;-57,6975;Cuarcita;Buenos Aires;Producción;Poggi Emprendimientos S.A
516;Chacras del Oeste S.A;-34,68451;-59,05256;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Chacras del Oeste S.A.
517;Cantera Santa Sofía;-34,66688;-58,99902;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Almirante Irizar S.A.
518;La Bagatela;-34,75044;-58,99299;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Matías Francisco Elgue
519;Arcillex;-34,53646;-58,60503;Arcillas;Buenos Aires;Producción;Arx Arcillex S.A
520;Pous Peña;-36,7062;-57,23039;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;María Laura Pous Peña
521;Zes Reservorio 4;-34,79541;-58,6923;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;CPC S.A. - Contreras Hnos. S.A.I.C.I.F.A.G. y M.
522;Zes Reservorio 7;-34,88279;-58,65267;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;CPC S.A. - Contreras Hnos. S.A.I.C.I.F.A.G. y M.
523;Tucumano;-34,95443;-57,88023;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Roque Antonio, Eduardo Américo y Andrea Margarita Juárez y Luisa Antonia Tejado
524;Canteras del Plata;-34,95693;-57,86569;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;San-Vol Quilmes S.A
525;Zambano IV;-34,9642;-57,87413;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Oscar Antonio Zambano S.A
526;El ángel del sol naciente;-34,98451;-57,88624;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Rubén Oscar Tunici, Susana María Moscoloni y Nora Beatriz Tunici
527;Romero;-34,94409;-58,0636;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Francisco José Palatino
528;Cat Sur;-34,98443;-58,24206;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Manuel Da Silva Rego, José Loureiro Caridade, José Pereira Torres, Delfin Pereira Do Rego y Manuel Pereira Morgado
529;Fanelli VI;-34,98048;-58,19754;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Trancefa S.A
530;La Emilia;-34,98658;-58,18364;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Ranelagh Construcciones S.A
531;Ctibor La Plata;-35,04095;-58,13342;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Cerámica Ctibor S.A
532;Tosquera Etcheverry;-35,01224;-58,09784;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Cantera La Ponderosa S.A
533;Fanelli IV y V;-35,15143;-58,01509;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Adalberto Rasente
534;Elena;-37,72147;-60,94639;Carbón;Buenos Aires;Exploración avanzada;Barranca Sur Minera S.A
535;Paraguil;-37,66596;-61,00903;Carbón;Buenos Aires;Exploración avanzada;Barranca Sur Minera
536;Don Ramón;-35,85451;-57,91443;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;José Alberto Luciano
537;El Tata;-38,4564;-58,30045;Arena;Buenos Aires;Producción;Doctor Tata S.A
538;Las Tres Plantas;-38,49301;-58,44692;Arena;Buenos Aires;Producción;Ceache Servicios S.R.L
539;Don José;-38,53434;-58,57775;Arena;Buenos Aires;Producción;Cantera Don José S.R.L
540;Monviso Forestal;-38,54481;-58,57457;Arena;Buenos Aires;Producción;Logimaq del Sur S.A.
541;San Manuel I;-37,7764;-58,88229;Arcillas;Buenos Aires;Producción;Minera Malaquita S.A.
542;La Vizcachera;-37,7749;-58,91458;Arcillas;Buenos Aires;Producción;Quimicera Especialidades S.A.
543;Manolo;-37,78442;-58,88563;Arcillas;Buenos Aires;Producción;Juan M. Ros y Sebastian F. Ros S.H
544;Los Cinco Nietos;-37,76865;-58,91037;Arcillas;Buenos Aires;Producción;Cedies S.A
545;La Elvira;-37,79098;-59,0484;Arcillas;Buenos Aires;Producción;Verellen Construcciones S.R.L.
546;Olivera;-34,62639;-59,23673;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Sebastián Rasente
547;Tres Espigas II;-34,51544;-59,1222;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Adalberto Rasente
548;Los Brunos II;-34,52377;-59,12432;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Darío Germán y Carlos Javier Zaia
549;Los Brunos III;-34,52544;-59,12308;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Hijos de Brunos Zaia S.R.L
550;Lomas de Carlos Keen;-34,49325;-59,15797;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Grounds Vial S.A.
551;El Páramo;-35,17563;-57,35401;Conchilla y/o coquina;Buenos Aires;Producción;El Páramo S.R.L
552;San José;-35,05534;-57,59955;Conglomerado calcáreo;Buenos Aires;Producción;Daniel Alberto Mielke
553;Urrutia;-36,76348;-57,25551;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Ricardo Alberto Urrutia
554;Nicolás Vignogna III;-34,91311;-58,70607;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Victoria Pascuala Pace Polini de Vignogna y Otros
555;Rasente;-34,65255;-59,29887;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Adalberto Ricardo Rasente
556;Zes Reservorio I;-34,75671;-58,74715;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Sociedad Argentina de Construcción y Desarrollo Estrátegico S.A.
557;Vial El Lago S.A.S;-35,36964;-58,84119;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Vial El Lago S.A.S
558;Monte I;-35,4309;-58,85841;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;SACDE Sociedad Argentina de Construcción y Desarrollo Estratégico S.A.
559;Tanoira;-35,53312;-58,83011;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;SACDE Sociedad Argentina de Construcción y Desarrollo Estratégico S.A.
560;Punta Florida;-38,65101;-58,95753;Arena;Buenos Aires;Producción;Punta Florida S.A.
561;Carin II;-37,74289;-59,24847;Arcillas;Buenos Aires;Producción;Transporte Arcamin S.A.
562;El Canario;-37,73758;-59,24247;Arcillas;Buenos Aires;Producción;Monte Rojo S.A.
563;La Horqueta;-38,12481;-59,31876;Yeso;Buenos Aires;Producción;Mineraltry S.A.S
564;La Negrita;-38,46391;-58,77263;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Ferticam S.A
565;La Gauchita;-38,48463;-58,77647;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Logística Transportadora S.A
566;La Colorada;-38,50335;-58,76252;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Ferticam S.A
567;Don Andrés;-38,51921;-58,82824;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Walter Andrés Esbensen
568;Los Dos Mosqueteros;-38,61762;-58,85222;Arena;Buenos Aires;Producción;Big Clean S.A.S.
569;La Ana Rita;-36,77002;-60,30568;Granito;Buenos Aires;Producción;La Ana Rita S.A.
570;La Camila;-36,82534;-60,31159;Granito;Buenos Aires;Producción;Cantera Tandileofú S.A.
571;Occhi;-36,83842;-60,26227;Granito;Buenos Aires;Producción;Genaro y Andrés De Stefano S.A.
572;Cantera Calello;-36,83812;-60,25545;Granito;Buenos Aires;Producción;Calello Hermanos S.A
573;Canteras Unidas de Sierra Chica;-36,8426;-60,24948;Granito;Buenos Aires;Producción;Galasur S.A
574;Petrone;-36,82674;-60,26148;Granito;Buenos Aires;Producción;Granito Serrano S.A
575;San Andrés;-36,9687;-60,22529;Arcillas;Buenos Aires;Producción;Cementos Avellaneda S.A.
576;La Alcancia I;-36,97608;-60,20681;Arcillas;Buenos Aires;Producción;Alfredo Rúben Pezzucchi
577;Las Piedras;-36,91581;-60,21051;Granito;Buenos Aires;Producción;Sucesión Ambrosio Colombo S.R.L.
578;Nueva Cantera Sierras Bayas;-36,90749;-60,20435;Granito;Buenos Aires;Producción;Minera Tandil S.A
579;Minerales Argentinos S.A.;-36,92585;-60,20992;Granito;Buenos Aires;Producción;Minerales Argentinos S.A
580;Cerro Lindo;-36,94451;-60,19522;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Transsuelo S.A
581;Villa Mónica;-36,90715;-60,14336;Granito;Buenos Aires;Producción;Adolfo Guerrico S.A.
582;San Cayetano (Ex Peñacal);-36,92742;-60,13958;Dolomía;Buenos Aires;Producción;Cooperativa de Trabajo Olavarría LTDA
583;Piatti;-36,96564;-60,10202;Granito;Buenos Aires;Producción;Cantera Piatti S.A
584;La Preferida;-36,96771;-60,10833;Granito;Buenos Aires;Producción;Loma Negra C.I.A.S.A
585;Piedras del Cerro;-36,9874;-60,10292;Granito;Buenos Aires;Producción;Piedras del Cerro S.A
586;Cerro Redondo;-36,96124;-60,178;Granito;Buenos Aires;Producción;Canteras Argentinas S.A
587;Yacimiento La Escondida;-36,96526;-60,18472;Granito;Buenos Aires;Producción;Canteras Cerro Redondo S.A
588;Losa;-36,9745;-60,18845;Arcillas;Buenos Aires;Producción;Canteras Cerro Negro S.A.
589;Sarmiento;-36,98007;-60,1851;Arcillas;Buenos Aires;Producción;Compañía Industrial Buglione y Martinese Hermanos S.A.
590;Don Federico (I);-36,98422;-60,17981;Arcillas;Buenos Aires;Producción;Canteras Cerro Negro S.A.
591;Estancia San Jacinto;-37,00263;-60,19521;Arcillas;Buenos Aires;Producción;Supercal S.A.
592;Calvú;-37,00091;-60,18523;Arcillas;Buenos Aires;Producción;Canteras Cerro Negro S.A.
593;Don Antonio;-37,00272;-60,18291;Arcillas;Buenos Aires;Producción;Supercal S.A.
594;Don Antonio I;-36,99946;-60,18214;Caliza;Buenos Aires;Producción;Cementos Avellaneda S.A.
595;Alicia;-37,02786;-60,33228;Arcillas;Buenos Aires;Producción; Cementos Avellaneda S.A.
596;El Hormiguero;-36,99864;-60,2455;Granito;Buenos Aires;Producción;Materser S.A.
597;La Cabañita;-36,99203;-60,21911;Caliza;Buenos Aires;Producción;Cementos Avellaneda S.A
598;Materiales San Fernando S.A.;-37,09474;-60,15172;Granito;Buenos Aires;Producción;Materiales San Fernando S.A.
599;La Pampita;-37,03755;-60,26554;Caliza;Buenos Aires;Producción;Loma Negra C.I.A.S.A.
600;D-6;-36,92456;-60,14614;Dolomía;Buenos Aires;Producción;Polcecal S.A.
601;D-7 y D-8;-36,92564;-60,14367;Dolomía;Buenos Aires;Producción;Cruz Omar Pavone S.R.L.
602;D-9;-36,92486;-60,14456;Dolomía;Buenos Aires;Producción;Frente Oeste S.A.
603;D-3;-36,93262;-60,14077;Dolomía;Buenos Aires;Producción;Frente Oeste S.A.
604;D-4;-36,9281;-60,14119;Dolomía;Buenos Aires;Producción;Frente Oeste S.A. UTE
605;D-5;-36,92899;-60,14155;Dolomía;Buenos Aires;Producción;Polcecal S.A.
606;D-1;-36,93672;-60,14464;Dolomía;Buenos Aires;Producción;Polcecal S.A.
607;D-2;-36,93489;-60,14194;Dolomía;Buenos Aires;Producción;Cruz Omar Pavone S.R.L.
608;12 de Octubre (2);-36,93183;-60,15459;Arcillas;Buenos Aires;Producción;  Ricardo Juan Aust
609;La Teresa;-36,92624;-60,17804;Dolomía;Buenos Aires;Producción;Rubén Dario Escaig
610;Los Chicos;-36,92291;-60,16177;Arcillas;Buenos Aires;Producción;Canteras Cerro Negro S.A.
611;C-1 y C-2;-36,92722;-60,15975;Caliza;Buenos Aires;Producción;Polcecal S.A.
612;C-3;-36,92751;-60,15623;Caliza;Buenos Aires;Producción;Polysan S.A
613;Aluminé;-40,57682;-62,6745;Cloruro de sodio;Buenos Aires;Producción;Recasal S.R.L.
614;Buenos Aires;-40,57508;-62,66609;Cloruro de sodio;Buenos Aires;Producción;Juan José Pereiro
615;Costa Norte;-39,94085;-62,34068;Arena;Buenos Aires;Producción;Ulises G. Smith
616;Norte Villalonga;-40,00137;-62,33996;Arena;Buenos Aires;Producción;Alberto Fernandez
617;Pungaloni II;-40,10862;-62,34889;Arena;Buenos Aires;Producción;Leonardo R. Pungaloni
618;Hormi White;-40,1801;-62,34803;Arena;Buenos Aires;Producción;Hormiwhite S.A.
619;SACDE;-33,94698;-60,3962;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Sociedad Argentina de Construcción y Desarrollo Estratégico S.A.
620;Comansir;-33,95016;-60,64781;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Rovella Carranza S.A.
621;La Paloma;-34,49465;-58,96727;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Emprendimientos H. Ricardo Elliot S.A.
622;2 de Abril;-35,57213;-57,27657;Conchilla y/o coquina;Buenos Aires;Producción;Codiamon S.A
623;Cruz del Sur;-35,53866;-57,38442;Conchilla y/o coquina;Buenos Aires;Producción;Codiamon S.A.
624;El Sacrificio;-35,7035;-57,36705;Conchilla y/o coquina;Buenos Aires;Producción;Domingo González y Cía S.A.
625;Costa Ramallo;-33,44672;-60,06882;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;D´Almeida Bico Hnos. S.A
626;Cantera Ramallo;-33,4652;-60,16514;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;D'Almeida Bico Hermanos S.A.
627;Las Moras;-37,61839;-62,48317;Cuarcita;Buenos Aires;Producción;Cantera Pigüe S.A
628;Pigüe;-37,63952;-62,45597;Cuarcita;Buenos Aires;Producción;Cantera Pigüe S.A
629;Siste;-34,28845;-60,27365;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Rúben Angel y Omar Emilio Siste
630;San Alberto;-34,46441;-59,54967;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Lidia Adela Pozzebon
631;Azcuenaga;-34,3284;-59,37948;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;María del Carmen Monserrat Leonor García
632;Costa;-34,45486;-59,69488;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;J.C. Construcciones Civiles S.A - Decavial S.A.I.C.A.C - Esuco S.A - UTE
633;Los Arroyos;-34,2904;-59,42803;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Áridos Pampeanos del Norte S.A.S
634;Estancia La Gloria;-34,05716;-59,31327;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Coviarsa S.A.
635;San José;-34,26331;-59,41722;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Sacde S.A
636;D´Almeida Bico;-33,41246;-60,19318;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;D´Almeida Bico Hnos. S.A
637;Agus-Mar;-33,71596;-59,63504;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Norberto Martín Iglesias
638;Tosquera Mocoretá;-33,72015;-59,62797;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Tosquera Río Parana S.A.
639;Bajo del Tala;-33,73883;-59,6158;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Eligio Biscia S.R.L
640;Domselaar;-35,08686;-58,29149;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Octan Win S.A.
641;Zes Reservorio San Vicente;-34,94744;-58,34855;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;CPC S.A. - Contreras Hnos. S.A.I.C.I.F.A.G. y M.
642;Kelly;-34,75719;-59,57582;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;CCA Green B S.A.
643;4 Ases;-34,74683;-59,68888;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Juan Aníbal Price
644;Tandileofú;-37,3557;-58,95505;Granito;Buenos Aires;Producción;Cerros Domicos S.A
645;San Luis;-37,36735;-58,97339;Granito;Buenos Aires;Producción;Minera Tandil S.A.
646;Don Camilo;-37,69437;-59,14636;Arcillas;Buenos Aires;Producción;Camilo Rúben Castro
647;Los Charitos;-37,26201;-59,16387;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Caminos Serranos S.R.L.
648;Cantera Municipal de Tandil;-37,32101;-59,21674;Granito;Buenos Aires;Producción;Cooperativa Integral de Provisión de Servicios Públicos de Tandil Limitada
649;Tartagal;-37,30859;-59,26938;Granito;Buenos Aires;Producción;Equimac S.A.
650;Jotace2;-36,57452;-57,3861;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Vial Norcar S.R.L.
651;Minujín;-38,33033;-62,29587;Mica;Buenos Aires;Producción;Luis A. y Agustín A. Minujín
652;Cerros Colorados;-38,06976;-62,4728;Granito;Buenos Aires;Producción;Piro y Ruiz S.C.A
653;Tres Picos;-38,20724;-62,13567;Cuarcita;Buenos Aires;Producción;Decavial S.A.I.C.A.C
654;Arenera Claromecó;-38,84057;-60,0061;Arena;Buenos Aires;Producción;Horacio Raúl Lachat
655;La Choza del Arcobaleno;-38,79036;-59,731;Arena;Buenos Aires;Producción;Alberto Mújica
656;Salinas Chicas;-38,76014;-62,92966;Cloruro de sodio;Buenos Aires;Producción;La Aurora S.A.I.C y G
657;La Tricolor;-38,78933;-62,80875;Arena;Buenos Aires;Producción;J.K. Transportes S.A.
658;Dottori I;-38,8116;-62,84149;Arena;Buenos Aires;Producción;Depósito Dottori S.R.L
659;Arenera Roque;-38,81576;-62,73556;Arena;Buenos Aires;Producción;Roque Guillermo A. y Miguel Roque S.H.
660;El Jabalí;-38,81349;-62,74983;Arena;Buenos Aires;Producción;Servicios HLB S.A.
661;Cat-Vial;-38,81825;-62,74781;Arena;Buenos Aires;Producción;Cat-Vial S.A
662;Don Julio Sandrini;-38,81711;-62,52525;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Julio Sandrini
663;Las Barrancas;-38,74356;-62,97589;Cloruro de sodio;Buenos Aires;Producción;Salina Las Barrancas S.A.I.C
664;Estancia El Marne;-34,15282;-59,04325;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Transportes César Obras Viales y Civiles S.R.L
665;Cargtier VIII;-34,17247;-59,07141;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Cargtier S.R.L
666;Los Álamos;-34,14926;-59,14926;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Omar Alberto Mazzei
667;Chacras de Zárate;-34,18283;-59,09893;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;C&E Construcciones S.A
668;La Estrella;-34,13708;-59,12719;Suelos seleccionados/tosca/greda;Buenos Aires;Producción;Jose Luis Carlisano
669;El Ucu;-23,511;-66,242;Elementos de Tierras Raras (óxidos) (REE);Salta;Exploración inicial;Astrali S.A.
670;Estrella del Oriente;-23,456;-66,187;Elementos de Tierras Raras (óxidos) (REE);Salta;Exploración inicial;Cañizares Bibiana Claudia, Cañizares Mario Alberto
671;Fernanda (Niño);-23,891;-66,249;Arcillas;Salta;Producción;Nuñez Ramon
672;La Candelaria;-24,91;-65,402;Arcillas;Salta;Producción;Ceramica del Norte S.A
673;La Isla;-24,885;-65,388;Arcillas;Salta;Producción;Ceramica del Norte S.A
674;Mi Esperanza;-24,966;-65,475;Caliza;Salta;Producción;-
675;Plateria;-23,538;-66,238;Elementos de Tierras Raras (óxidos) (REE);Salta;Exploración inicial;Astrali S.A.
676;Quiron;-24,414;-66,847;Perlita;Salta;Producción;Viento Blanco S.R.L
677;Ramadas;-24,15;-66,331;Perlita;Salta;Producción;Imerys Minerales Argentina S.A.
678;Rangel;-23,565;-66,244;Elementos de Tierras Raras (óxidos) (REE);Salta;Exploración inicial;Astrali S.A.
679;Rupasca;-24,442;-66,437;Perlita;Salta;Producción;Imerys Minerales Argentina S.A.
680;Santa Elena;-24,83;-66,337;Nb (óxido);Salta;Exploración inicial;Vittone Hector Felix
681;Santa Elena;-24,973;-65,467;Caliza;Salta;Producción;-
682;Las Bayas (Nirihuau);-41,59045;-71,01541;Carbón;Rio Negro ;Exploración inicial;Trendix S.A
683;Río Turbio;-51,53556;-72,28222;Carbón;Santa Cruz ;Producción;YACIMIENTOS CARBONIFEROS RIO TURBIO S.A.
684;Abra Colorada;-22,462;-65,141;Baritina;Salta;Prospección;Condor Prospecting S.A.
685;Don Alberto,Puca Aypa San Cayetano Maria Marquesa;-22,27;-64,978;Baritina;Salta;Exploración inicial;Condor Prospecting S.A.
686;Patito;-24,841;-66,714;Boratos (B2O3);Salta;Producción;Minera Santa Rita S.R.L
687;Sijes;-24,618;-66,67;Boratos (B2O3);Salta;Producción;Borax Argentina S.A
688;Tincalayu;-25,267;-67,056;Boratos (B2O3);Salta;Producción;Borax Argentina S.A
689;Potasio Río Colorado (Prc);-37,10333 ;-69,32528 ;Potasio;Mendoza;Construcción;POTASIO RIO COLORADO SA
690;Potasio Neuquén;-37,428296;-69,225987;Potasio;Neuquén;Prefactibilidad;Bunge Minera S.A. - Servicios de Minería S.A.
