N°;NOMBRE;LATITUD;LONGITUD;MINERAL PRINCIPAL;PROVINCIA;ESTADO;OPERADOR
277;Cantera Laguna Verde;-31,325950;-64,324686;Triturados pétreos;Córdoba;Producción;Terra sa
278;Cantera Dumesnil;-31,316039;-64,334536;Triturados pétreos;Córdoba;Producción;Cantera Dumesnil SA
279;Canteras Amadeo;-31,098056;-64,317056;Triturados pétreos;Córdoba;Producción;CANTERAS AMADEO SRL
280;Cantera El Rincon;-31,199358;-64,319108;Triturados pétreos;Córdoba;Producción;MOLIENDA EL RINCON SRL
281;Cantera Ana María;-31,228869;-64,336389;Triturados pétreos;Córdoba;Producción;ALTOS DE CABANA SA
282;Cantera El Simbolar;-30,435536;-63,973989;Triturados pétreos;Córdoba;Producción;MINERA SAN PEDRO SRL
283;Cantera ZM;-29,917833;-63,763333;Triturados pétreos;Córdoba;Producción;ZANCHI MUÑOZ PABLO DARIO
284;Cantera San Sebastián;-30,859500;-64,685222;Caliza;Córdoba;Producción;CANTERA SAN SEBASTIAN SRL
285;Cantera Don Guillermo;-30,988222;-65,389444;Granito;Córdoba;Producción;VALENZUELA NEMECIO ARMANDO
286;Cantera Don Alberto;-30,989944;-65,397444;Granito;Córdoba;Producción;OLIVEIRA CABALEIRO, JUAN MARTIN
287;Cantera Tres Campanas;-31,156419;-64,591156;Caliza;Córdoba;Producción;GRUPO MINERO IMPERIO SA
288;Cantera Arroyos Norte;-31,123722;-64,541028;Caliza;Córdoba;Producción;GOMEZ GUILLERMO DARIO
289;Cantera El Gran Ombú;-31,275611;-64,335333;Triturados pétreos;Córdoba;Producción;EL GRAN OMBU SA
290;Grupo minero Los Cerros Negros;-32,503847;-64,796333;Fluorita;Córdoba;Producción;Fluorita Cordoba SA
291;Mina Samanta;-32,206944;-63,975694;Arcillas;Córdoba;Producción;Alfredo Pablo Gatti
292;Cantera Los Condores;-32,370389;-64,352889;Triturados pétreos;Córdoba;Producción;BASALTO INDUSTRIAL Y COMERCIAL SRL
293;Cantera Arcillas Mediterraneas;-30,570369;-64,557425;Arcillas;Córdoba;Producción;Arcillas Mediterraneas SA
294;Cantera Palmar V;-31,402894;-64,071153;Arcillas;Córdoba;Producción;Palmar SA
295;Cantera La Maga;-32,439306;-64,574139;Serpentinita;Córdoba;Producción;Fluorita Córdoba SA
296;Salinas Grandes;-29,893167;-64,693250;Cloruro de sodio;Córdoba;Producción;La Industrial Salinera SA
297;Salinas Grandes;-29,833222;-64,730167;Cloruro de sodio;Córdoba;Producción;VALDIVEZ DAVID CEFERINO
298;Verdol;-31,634167;-64,400306;Carbonato de calcio;Córdoba;Producción;VERDOL SA
