N°;NOMBRE;LATITUD;LONGITUD;MINERAL PRINCIPAL;PROVINCIA;ESTADO;CONTROLANTE (1°);PORCENTAJE (1°);ORIGEN (1°);CONTROLANTE (2°);ORIGEN (2°);PORCENTAJE (2°);CONTROLANTE (3°);PORCENTAJE (3°);ORIGEN (3°);;;;;;;;;;
22;Arizaro Sur ;-24,88645;-67,77402;Litio;Salta;Exploración avanzada;Pluspetrol Resources Corp. ;100%;Paises Bajos ;;;;;;;;;;;;;;;;
23;Arroyo Perdido ;-43,4094444;-68,53055556;Uranio;Chubut;Exploración inicial;CNEA;100%;Argentina;;;;;;;;;;;;;;;;
24;Bajo de la Alumbrera ;-27,19000 ;-66,36000 ;Cobre;Catamarca;Reingeniería;Glencore Plc.;100%;Suiza;;;;;;;;;;;;;;;;
25;Barro Negro;-24,473;-66,211;Cobre;Salta;Exploración avanzada;Cosmos Minerals S.A.;;;;;;;;;;;;;;;;;;
26;Benjamin;-28,972411;-67,986733;Cobre;La Rioja;Prospección;EMSE;100%;Argentina;;;;;;;;;;;;;;;;
27;Bordo de la Cueva;-24,433;-66,133;Manganeso;Salta;Exploración avanzada;Minera Anglo American Argentina S.A.;;;;;;;;;;;;;;;;;;
28;Brealito;-25,3;-66,343;Cobre;Salta;Exploración avanzada;Cosmos Minerals S.A.;;;;;;;;;;;;;;;;;;
29;Buen Augurio ;-28,348805;-69,477377;Cobre;La Rioja;Prospección;Aguilar Polimetalica;100%;Argentina;;;;;;;;;;;;;;;;
30;Buen Augurio 2;-28,4139194;-68,98078;Litio;La Rioja;Prospección;Aguilar S.A.;100%;Argentina;;;;;;;;;;;;;;;;
31;Buitrera;-41,04444444;-69,31972222;Plata;Río Negro;Prospección;;;;;;;;;;;;;;;;;;;
32;Caballos;-28,224094;-69,324542;Cobre;La Rioja;Exploración inicial;Hanaq Group;100%;China;;;;;;;;;;;;;;;;
33;Cachi;-47,93833;-69,92332;Oro;Santa Cruz;Exploración inicial;Tres Cerros Exploraciones SRL;65%;Argentina;NewPeak Metals Limited;Australia;35%;;;;;;;;;;;;;
34;Calcatreu;-41,88306;-69,53333;Oro;Río Negro;Producción;Patagonia Gold;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
35;Calderón-Calderoncito;-31,22801;-70,29946;Oro;San Juan;Exploración inicial;Fortescue  Ltd.;100%;Australia;;;;;;;;;;;;;;;;
36;California;-24,268;-66,493;Plomo;Salta;Exploración inicial;German Santiago;;;;;;;;;;;;;;;;;;
37;Caltrauna;-41,09935177;-68,13699886;Plata;Río Negro;Exploración inicial;Rio de Oro Exploraciones ;100%;Argentina;;;;;;;;;;;;;;;;
38;Campamento;-22,319;-65,046;Hierro;Salta;Exploración inicial;Servicios Y Proyectos Mineros S.R.L.;100%;Argentina;;;;;;;;;;;;;;;;
39;Candela II;-24,3149583;-67,58705556;Litio;Salta;Exploración inicial;Armory Mining Corp.;100%;Canadá;;;;;;;;;;;;;;;;
40;Candelas;-25,47594;-67,14368;Litio;Catamarca;Evaluación Económica Preliminar;Galan Lithium Limited;100%;Australia;-;-;-;-;-;-;;;;;;;;;;
41;Cangrejillos;-23,70593969;-66,14165029;Litio;Salta;Exploración avanzada;Lithium S. Corporation;100%;Canadá;;;;;;;;;;;;;;;;
42;Cañadon Del Moro;-40,83333;-69,65;Plata;Río Negro;Exploración avanzada;Southern Copper Corp. ;100%;Estados Unidos;;;;;;;;;;;;;;;;
43;Cap-Oeste;-47,94467;-70,45145;Oro;Santa Cruz;Producción;Patagonia Gold;95%;Canadá;Fomicruz;-;5%;-;-;-;;;;;;;;;;
44;Casposo;-31,21083;-69,62918;Oro;San Juan;Producción;Austral Gold Limited;100%;Australia;-;-;-;-;;;;;;;;;;;;
45;Castor Polux;-24,362;-66,828;Manganeso;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
46;Casualidad III;-26,016;-66,183;Cobre;Salta;Exploración inicial;Aguiar Ernesto Matin;;;;;;;;;;;;;;;;;;
47;Cateos;-40,457365;-70,188942;Litio;Neuquén;Prospección;;;;;;;;;;;;;;;;;;;
48;Cateos;-38,257306;-69,32361;Uranio;Neuquén;Prospección;;;;;;;;;;;;;;;;;;;
49;Catriel (Mari);-37,7936111;-67,96333333;Uranio;Río Negro;Exploración inicial;CNEA;100%;Argentina;;;;;;;;;;;;;;;;
50;Cauchari;-23,72524;-66,81108;Litio;Jujuy;Prefactibilidad;Austroid Corp. ;100%;Estados Unidos;-;-;-;-;-;-;;;;;;;;;;
51;Cauchari Jv;-23,75738;-66,79067;Litio;Jujuy;Prefactibilidad;Rio Tinto Group;100%;Reino Unido;;;;;;;;;;;;;;;;
