N°;NOMBRE;LATITUD;LONGITUD;MINERAL PRINCIPAL;PROVINCIA;ESTADO;CONTROLANTE (1°);PORCENTAJE (1°);ORIGEN (1°);CONTROLANTE (2°);ORIGEN (2°);PORCENTAJE (2°);CONTROLANTE (3°);PORCENTAJE (3°);ORIGEN (3°);;;;;;;;;;
184;Las Flechas (Northern Properties);-28,69573;-69,56335;Cobre;San Juan;Exploración inicial;Pan American Silver Corp;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
185;Las Opeñas;-29,77819;-69,34561;Oro;San Juan;Exploración inicial;NewPeak Metals Limited;100%;Australia;-;-;-;-;-;-;;;;;;;;;;
186;Las Vertientes;-25,027;-67,306;Cobre;Salta;Prospección;;;;;;;;;;;;;;;;;;;
187;Leo, Tiger, Panther;-24,933;-67,833;Plomo;Salta;Prospección;;;;;;;;;;;;;;;;;;;
188;Leoncito;-28,7210036;-68,987227;Litio;La Rioja;Exploración inicial;Kallpa;100%;Argentina;;;;;;;;;;;;;;;;
189;Libanesa;-47,80952;-66,78605;Oro;Santa Cruz;Exploración inicial;Mirasol Resources Ltda.;100%;Canadá;;;;;;;;;;;;;;;;
190;Limeca;-23,685;-66,343;Zinc;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
191;Lindero;-25,09772;-67,75905;Oro;Salta;Producción;Fortuna Mining Corp. ;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
192;Lipetren;-41,93041667;-69,76333333;Litio;Río Negro;Prospección;Condor Prospecting S.A.;;;;;;;;;;;;;;;;;;
193;Litio Gold I, Ii Y Iii;-25,364331;-66,625364;Litio;Catamarca;Prospección;Franklin Mining ;100%;Estados Unidos;;;;;;;;;;;;;;;;
194;Lonco Vaca - Palenque;-40,229;-69,212;Plata;Río Negro;Prospección;Southern Copper Corp. ;100%;Estados Unidos;;;;;;;;;;;;;;;;
195;Los Azules;-31,08139;-70,16865;Cobre;San Juan;Factibilidad;McEwen Inc.;46%;Canadá;Stellantis;Países Bajos;18%;Otros;36%;-;;;;;;;;;;
196;Los Cardones;-25,936;-66,177;Cobre;Salta;Exploración inicial;Humboldt Minerals Ltd.;100%;Reino Unido;;;;;;;;;;;;;;;;
197;Los Colorados;-24,832;-66,912;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
198;Los Sapitos;-28,851896;-69,144894;Litio;San Juan;Exploración inicial;Origen Resources Inc.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
199;Lucho;-40,597;-66,232;Plata;Río Negro;Prospección;Valcheta Exploraciones;100%;Argentina;;;;;;;;;;;;;;;;
200;Lucho U;-40,51;-66,252;Uranio;Río Negro;Prospección;Lucero Claudio Guillermo-Unipersonal;100%;Argentina;;;;;;;;;;;;;;;;
201;Lucrecita;-24,275;-66,067;Cobre;Salta;Prospección;;;;;;;;;;;;;;;;;;;
202;Lunahuasi;-28,4196;-69,6226;Cobre;San Juan;Exploración inicial;NGEx Minerals Ltd.;100%;Canadá;;;;;;;;;;;;;;;;
203;Manantial Espejo (Cose);-48,76667;-69,5;Plata;Santa Cruz;Cese de operaciones;Pan American Silver Corp;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
204;Manantiales;-31,16414;-69,69253;Oro;San Juan;Exploración inicial;Austral Gold Limited;100%;Australia;-;-;-;-;-;-;;;;;;;;;;
205;Maquinchao;-41,282;-68,653;Plata;Río Negro;Exploración inicial;Golden Arrow Resources Corp.;100%;Canadá;;;;;;;;;;;;;;;;
206;Mara ;-27,376;-66,283;Cobre;Catamarca;Factibilidad;Glencore Plc.;100%;Suiza;;;;;;;;;;;;;;;;
207;Marcelo;-24,306;-67,32;Cobre;Salta;Exploración avanzada;;;;;;;;;;;;;;;;;;;
208;Margarita (Zorriquin);-25,966;-65,666;Cobre;Salta;Prospección;Cardero Resource Corp,;100%;Canadá;;;;;;;;;;;;;;;;
209;Maria Elena (Azul Las Coyas);-25,933;-65,709;Cobre;Salta;Prospección;Cardero Resource Corp,;100%;Canadá;;;;;;;;;;;;;;;;
210;Mariana;-24,81373;-68,30736;Litio;Salta;Producción;Ganfeng Lithium Co. Ltd.;100%;China;;;;-;;-;;;;;;;;;;
211;Martín Bronce;-24,40305;-64,49939;Cobre;Jujuy;Producción;MOM Mining SRL;100%;Argentina;;;;;;;;;;;;;;;;
212;Matacillas;-23,925;-66,269;Plomo;Salta;Prospección;;;;;;;;;;;;;;;;;;;
213;Menucos;-41,031;-67,939;Plata;Río Negro;Prospección;;;;;;;;;;;;;;;;;;;
214;Meseta Central;-43,41;-68,69;Uranio;Chubut;Exploración avanzada;UrAmérica Ltd.;100%;Reino Unido;-;-;-;-;-;-;;;;;;;;;;
215;Meseta Sirven (Laguna Sirve);-46,8810783;-69,0676926;Uranio;Santa Cruz;Exploración inicial;CNEA;;Argentina;Fomicruz S.E;;;;;;;;;;;;;;;
216;Michelle;-48,34265;-68,50223;Oro;Santa Cruz;Exploración avanzada;AngloGold Ashanti plc;100%;Sudáfrica;;;;;;;;;;;;;;;;
217;Milagro;-24,46;-66,197;Hierro;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
218;Mina Beatriz;-26,16018;-67,42908;Litio;Catamarca;Exploración avanzada;Carachi Pampa Lithium Limited Partnership  ;100%;Canadá;;;;;;;;;;;;;;;;
219;Mina Catalina Ii;-22,58405189;-66,34787963;Oro;Jujuy;Producción;Espíritu de los Andes S.A.;100%;Argentina;;;;;;;;;;;;;;;;
220;Mina Martha;-48,69393;-69,69886;Plata;Santa Cruz;Reingeniería;Patagonia Gold;95%;Canadá;Fomicruz;Argentina;5%;-;-;-;;;;;;;;;;
221;Mina Sisifo - Mina Patilla;-24,23533;-67,51665;Litio;Salta;Exploración avanzada;Power Minerals Ltda. ;100%;Australia;-;-;-;-;-;-;;;;;;;;;;
222;Minas Futuro;-26,8494;-67,796351;Cobre;Catamarca;Exploración inicial;Southern Copper Corp. ;100%;Estados Unidos;;;;;;;;;;;;;;;;
223;Mogotes (Filo Sur);-28,605;-69,626667;Cobre;San Juan;Exploración avanzada;Mogotes Metals Inc.;100%;Canadá;;;;;;;;;;;;;;;;
224;Mosquito;-48,04962;-66,74309;Oro;Santa Cruz;Exploración avanzada;Hochschild Mining plc;100%;Reino Unido;;;;;;;;;;;;;;;;
225;Navidad;-42,415;-68,82;Plata;Chubut;Evaluación Económica Preliminar;Pan American Silver Corp;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
226;Negra Muerta;-24,211;-66,2;Cobre;Salta;Prospección;;;;;;;;;;;;;;;;;;;
227;Nivaldo;-28,396383;-69,5568777;Cobre;La Rioja;Exploración inicial;Minera Pedernales;100%;Argentina;;;;;;;;;;;;;;;;
228;Olaroz;-23,45;-66,7;Litio;Jujuy;Producción;Rio Tinto Group;67%;Reino Unido;Toyota Tsusho;Japón;25%;Jujuy Energía y Minería;9%;Argentina;;;;;;;;;;
229;Organullo;-24,395;-66,318;Plomo;Salta;Exploración avanzada;Latin Metals Inc.;100%;Canadá;;;;;;;;;;;;;;;;
230;Pancho Arias;-24,266;-65,852;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
231;Paredes;-41,286;-70,165;Plata;Río Negro;Prospección;;;;;;;;;;;;;;;;;;;
232;Parmense Viscachani;-22,405;-65,124;Plomo;Salta;Prospección;;;;;;;;;;;;;;;;;;;
233;Peñas Negras;-28,26814;-69,47581;Cobre;La Rioja;Exploración inicial;Sendero Resources Ltd.;100%;Canadá;;;;;;;;;;;;;;;;
234;Picaso;-40,673;-69,579;Plata;Río Negro;Prospección;Valcheta Exploraciones;100%;Argentina;;;;;;;;;;;;;;;;
235;Pilahué;-40,62;-69,767;Plata;Río Negro;Prospección;;;;;;;;;;;;;;;;;;;
236;Distrito Pingüino (Sa. Blanca, Plara León, Cerro Leòn, Pinguino);-48,01789;-68,67303;Plata;Santa Cruz;Exploración avanzada;Unico Silver Ltda.;100%;Australia;-;-;-;-;-;-;;;;;;;;;;
237;Piuquenes;-31,45390916;-70,4920555;Cobre;San Juan;Exploración inicial;Andina Copper Corp.;80%;Canadá;Compañía Minera Piuquenes S.A.;Argentina;20%;-;-;-;;;;;;;;;;
238;Plateada;-24,657;-65,783;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
239;Pocitos I;-24,495;-67,03277778;Litio;Salta;Exploración avanzada;American Salars Lithium Inc.;100%;Canadá;;;;;;;;;;;;;;;;
240;Poscaya;-22,456;-65,061;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
241;Potrerillos;-29,36999;-69,85988;Oro;San Juan;Exploración avanzada;Golden Arrow Resources Corp.;100%;Canadá;;;;;;;;;;;;;;;;
242;Pozuelos Pastos-Grandes ;-24,69897;-66,81781;Litio;Salta;Factibilidad;Ganfeng Lithium Co. Ltd. ;67%;China;Lithium Argentina;Suiza;33%;-;-;-;;;;;;;;;;
243;Prospecto Arizaro;-25,104;-67,756;Cobre;Salta;Exploración avanzada;;;;;;;;;;;;;;;;;;;
244;Prospecto Las Burras;-24,333;-65,87;Cobre;Salta;Exploración inicial;Cascadero Copper Corp.;70%;Canadá;Regberg Ltd.;;30%;;;;;;;;;;;;;
245;Pular (Salta Lithium);-24,401;-67,083;Litio;Salta;Exploración avanzada;;;;;;;;;;;;;;;;;;;
246;Puna Operation (Chinchillas - Pirquitas);-22,50508;-66,25685;Plata;Jujuy;Producción;SSR Mining Inc.;100%;Estados Unidos;-;-;-;-;-;-;;;;;;;;;;
247;Punilla;-24,802;-64,744;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
248;Puzzle;-40,712;-68,26;Oro;Río Negro;Exploración inicial;Valcheta Exploraciones;100%;Argentina;;;;;;;;;;;;;;;;
249;Recuerdo;-24,175;-66,405;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
250;Reina Sofia Iv;-24,39558583;-67,02177048;Litio;Salta;Exploración avanzada;;;;;;;;;;;;;;;;;;;
251;Rincón;-24,20374;-66,99009;Litio;Salta;Construcción;Argosy Minerals;100%;Australia;-;-;-;-;-;-;;;;;;;;;;
252;Rincón Oeste;-24,0480583;-67,220975;Litio;Salta;Exploración avanzada;Argentina Lithium & Energy Corp. ;100%;Canadá;;;;;;;;;;;;;;;;
253;Rincón (Salta Lithium);-24,1127;-67,17265;Litio;Salta;Evaluación Económica Preliminar;Power Minerals Ltda. ;100%;Australia;;;;;;;;;;;;;;;;
254;Rincones De Araya;-31,22801;-70,29946;Cobre;San Juan;Exploración inicial;Fortescue  Ltd.;100%;Australia;-;-;-;-;-;-;;;;;;;;;;
255;Rio Blanco;-22,261;-65,015;Plomo;Salta;Prospección;;;;;;;;;;;;;;;;;;;
256;Rio Cenicero;-31,55608;-70,47163;Cobre;San Juan;Exploración avanzada;Aldebaran Resources Inc.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
257;Rio Grande;-25,03228;-67,86679;Cobre;Salta;Exploración avanzada;Aldebaran Resources Inc.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
258;Rio Grande;-24,978;-68,154;Litio;Salta;Evaluación Económica Preliminar;Noa Lithium Brines Inc.;100%;Canadá;;;;;;;;;;;;;;;;
259;Rio Grande;-25,00605;-68,14443;Litio;Salta;Exploración avanzada;Pluspetrol Resources Corp.;100%;Paises Bajos ;-;-;-;-;-;-;;;;;;;;;;
260;Rio Grande Sur ;-25,0688611;-68,20741111;Litio;Salta;Prefactibilidad;Pursuit Minerals Ltd. ;100%;Australia;;;;;;;;;;;;;;;;
261;Rio Salinas;-31,35185325;-70,3773304;Cobre;San Juan;Exploración avanzada;Fortescue  Ltd.;100%;Australia;-;-;-;-;-;-;;;;;;;;;;
262;Rosario;-24,503;-66,203;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
263;Sal de Los Ángeles;-25,24472;-66,74833;Litio;Salta;Construcción;Revotech Asia Ltda. ;46%;China;Xizang Zhufeng Resources Co.;China;45%;Leading Resources Global Ltd.;9%;Reino Unido;;;;;;;;;;
264;Sal de Oro;-25,22426;-66,96852;Litio;Catamarca - Salta;Producción;POSCO Holdings Inc. ;100%;Corea del Sur;-;-;-;-;-;-;;;;;;;;;;
265;Sal de Vida;-25,34532;-66,94715;Litio;Catamarca;Construcción;Rio Tinto Group;100%;Reino Unido;-;-;-;-;-;-;;;;;;;;;;
266;Salar de Antofalla I Al Xiii Y Bolland Vi;-25,866666;-67,85;Litio;Catamarca;Exploración avanzada;Albemarle Corporation;100%;Estados Unidos;;;;;;;;;;;;;;;;
267;Salar del Rincón;-24,0575;-67,12;Litio;Salta;Construcción;Rio Tinto Group;100%;Reino Unido - Australia ;-;-;-;-;-;-;;;;;;;;;;
268;Salar Tolillar;-25,03672;-67,12411;Litio;Salta;Evaluación Económica Preliminar;Alpha Lithium Corporation;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
269;Salari;-24,72490657;-67,79769983;Litio;Salta;Exploración avanzada;Eramet;100%;Francia;;;;;;;;;;;;;;;;
270;Salari 22;-24,90458899;-67,69699741;Litio;Salta;Exploración avanzada;;;;;;;;;;;;;;;;;;;
271;San Antonio;-24,83;-66,324;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
272;San Antonio;-25,252;-66,402;Plomo;Salta;Prospección;;;;;;;;;;;;;;;;;;;
273;San Antonio;-22,443;-65,276;Cobre;Salta;Prospección;;;;;;;;;;;;;;;;;;;
274;San Esteban;-24,088;-66,104;Manganeso;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
275;San Francisco;-30,71945;-69,65445;Cobre;San Juan;Exploración inicial;Turmalina Metals;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
276;San Francisco (Vallecito);-25,894;-66,287;Cobre;Salta;Exploración inicial;Humboldt Minerals Ltd.;100%;Reino Unido;;;;;;;;;;;;;;;;
277;San Isidro;-22,737;-65,229;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
278;San Jorge (PSJ Cobre Mendocino);-32,2448;-69,43887;Cobre;Mendoza;Prefactibilidad;Zonda Metals GmBH;90%;Suiza;Grupo Alberdi;Argentina;10%;-;-;-;;;;;;;;;;
279;San Jorge;-26,93886;-68,12172;Litio;Catamarca;Exploración inicial;Greenwing Resources Ltd;100%;Australia;;;;;;;;;;;;;;;;
280;San José;-46,66848;-70,29747;Plata;Santa Cruz;Producción;Hochschild Mining Plc;51%;Reino Unido;McEwen Mining Inc.;Canadá;49%;;;-;;;;;;;;;;
281;San Jose de Chañi (Potrerillos);-24,196;-65,824;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
282;San Pedro (Cardonal);-24,341;-65,713;Plomo;Salta;Prospección;;;;;;;;;;;;;;;;;;;
283;San Roque;-40,78585;-65,79743;Oro;Río Negro;Exploración avanzada;International Iconic Gold exploration corp;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
284;San Roque;-24,295;-66,039;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
285;Santa Ines;-24,784;-68,144;Cobre;Salta;Exploración avanzada;Fuyang Mingjin New Energy Development Co;100%;China;;;;;;;;;;;;;;;;
286;Sapo y otras;-37,803474;-69,415636;Cobre;Neuquén;Exploración avanzada;;;;;;;;;;;;;;;;;;;
287;Sascha;-47,808;-70,283;Oro;Santa Cruz;Exploración inicial;Pursuit Minerals Ltd. ;100%;Australia;;;;;;;;;;;;;;;;
288;Saturno;-24,478;-66,174;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
289;Señor del Milagro;-24,388;-66,022;Cobre;Salta;Prospección;;;;;;;;;;;;;;;;;;;
290;Sierra Cuadrada;-44,609;-67,992;Uranio;Chubut;Prospección;CNEA;100%;Argentina;;;;;;;;;;;;;;;;
291;Sierra Grande;-41,677;-65,369;Hierro;Río Negro;Reingeniería;China Metallurgical Group Corporation;70%;China;A GRADE TRADING LTD;Estados Unidos;30%;-;-;-;;;;;;;;;;
292;Sierra Pintada ;-34,9563;-68,6119;Uranio;Mendoza;Factibilidad;CNEA;100%;Argentina;;;;;;;;;;;;;;;;
293;Silvina;-25;-67,849;Plomo;Salta;Prospección;;;;;;;;;;;;;;;;;;;
294;Sincera;-26,05715833;-67,9349166;Litio;Catamarca;Exploración avanzada;Antofalla Minerals S.A (Marcelo López Acuña);;;;;;;;;;;;;;;;;;
295;Sofia ;-46,86444;-68,84583;Uranio;Santa Cruz;Exploración inicial;Fomicruz S.E;;Argentina;Sophia Energy S.A.;Argentina;;;;;;;;;;;;;;
296;Jama - Solaroz;-23,54439;-66,62877;Litio;Jujuy;Exploración avanzada;CNGR Advanced Material ;90%;China;Hanaq;China;10%;;;;;;;;;;;;;
297;Sor Rafaela;-24,333;-66,071;Cobre;Salta;Prospección;;;;;;;;;;;;;;;;;;;
298;Soroche y Vulcano;-25,129;-66,746;Plomo;Salta;Prospección;;;;;;;;;;;;;;;;;;;
299;Supay;-40,191;-68,08;Plata;Río Negro;Prospección;;;;;;;;;;;;;;;;;;;
300;Suyai;-42,89718;-71,21956;Oro;Chubut;Factibilidad;Pan American Silver Corp;60%;Canadá;CAM;Argentina;40%;-;-;-;;;;;;;;;;
301;Taca Sal IV;-24,652159;-67,78915982;Litio;Salta;Exploración avanzada;;;;;;;;;;;;;;;;;;;
302;Taca Taca;-24,57255;-67,73582;Cobre;Salta;Factibilidad;First Quantum Minerals Ltd.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
303;Taguas;-29,20134;-69,87465;Oro;San Juan;Evaluación Económica Preliminar;Orvana Minerals Corp;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
304;Tamariscos;-41,517;-65,76;Plata;Río Negro;Exploración inicial;Patagonia Gold;100%;Canadá;;;;;;;;;;;;;;;;
305;Tanque Negro;-40,832;-68,414;Plata;Río Negro;Prospección;Southern Copper Corp. ;100%;Estados Unidos;;;;;;;;;;;;;;;;
306;Taquetren;-41,68321;-69,60746;Plata;Río Negro;Prospección;Fitzroy Minerals Inc.;100%;Canadá;;;;;;;;;;;;;;;;
307;Taron Cesium;-24,65;-66,5;Cesio;Salta;Evaluación Económica Preliminar;Cascadero Copper Corp. ;100%;Canadá;;;;;;;;;;;;;;;;
308;Tebenquicho Chico;-25,3352805;-67,53559;Oro;Catamarca;Exploración avanzada;Elevado Gold;100%;Australia;;;;;;;;;;;;;;;;
309;Teresita;-41,162;-67,912;Plata;Río Negro;Exploración inicial;Rio de Oro Exploraciones ;100%;Argentina;;;;;;;;;;;;;;;;
310;Tolar Chico;-24,866;-67,083;Plata;Salta;Prospección;;;;;;;;;;;;;;;;;;;
311;Tornado-Huracán;-46,78715;-70,30633;Oro;Santa Cruz;Exploración inicial;Patagonia Gold;100%;Canadá;;;;;;;;;;;;;;;;
312;Toruel;-41,006;-67,88;Plata;Río Negro;Exploración inicial;MIM Argentina Exploraciones S.A;100%;Argentina;;;;;;;;;;;;;;;;
313;Tres Quebradas;-27,36413;-68,66513;Litio;Catamarca;Producción;Zijin Mining Group Ltd.;100%;China;-;-;-;-;-;-;;;;;;;;;;
314;Trila Lea ;-26,05864;-67,93053;Litio;Catamarca;Exploración avanzada;Triangle Lithium Argentina S.A;80%;Argentina;Lithium Energi Exploration Inc;Canadá;20%;;;;;;;;;;;;;
315;Unchimé;-24,685;-64,819;Hierro;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
316;Valcheta;-40,713;-66,495;Cobre;Río Negro;Exploración inicial;Trendix Mining SRL;100%;Argentina;;;;;;;;;;;;;;;;
317;Valle Ancho;-27,583333;-68,833333;Oro;Catamarca;Exploración avanzada;NGEx Minerals Ltd.;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
318;Valle de Chita;-30,55137;-69,52132;Cobre;San Juan;Exploración avanzada;South32 Ltd.;50,1%;Australia;Minsud Resources Corp.;Canadá;49,9%;-;-;-;;;;;;;;;;
319;Vampiro (San Antonio);-24,982;-64,878;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
320;Vega de Arizaro;-24,51189488;-67,90665183;Litio;Salta;Exploración avanzada;;;;;;;;;;;;;;;;;;;
321;Veladero;-29,40026;-69,91594;Oro;San Juan;Producción;Barrick Mining Corporation;50%;Canadá;Shandong Gold Mining Co. Ltd.;China;50%;-;;-;;;;;;;;;;
322;Veta Grande;-24,268;-66,473;Antimonio;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
323;Victoria;-24,269;-66,464;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
324;Victoria (La Revancha);-24,877;-65,335;Plomo;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
325;Vil Achay;-27,53;-67,265;Estaño ;Catamarca;Exploración avanzada;Alto Grande S.A. ;100%;Argentina;;;;;;;;;;;;;;;;
326;Virgen Del Valle Litio;-25,4394;-66,97779722;Litio;Catamarca;Prospección;Minera Santa Rita S.R.L.;100%;Argentina;-;-;-;-;-;-;;;;;;;;;;
327;Virginia;-47,46658;-69,94496;Plata;Santa Cruz;Exploración avanzada;Mirasol Resources Ltda.;100%;Canadá;-;;-;-;-;-;;;;;;;;;;
328;Vista Alegre;-40,17055556;-69,68;Plata;Río Negro;Prospección;;;;;;;;;;;;;;;;;;;
329;Vizcacheral;-24,129;-65,882;Cobre;Salta;Exploración inicial;;;;;;;;;;;;;;;;;;;
330;Yanso;-29,9325528;-68,54145833;Oro;San Juan;Exploración avanzada;Golden Arrow Resources Corp.;100%;Canadá;;;;;;;;;;;;;;;;
331;Zancarron;-29,62237517;-69,9355613;Oro;San Juan;Exploración inicial;Barrick Mining Corporation;100%;Canadá;-;-;-;-;-;-;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
